target_id	tercile	pdb	ligands	center_x	center_y	center_z	n_mol2s
Q8G2R2	mid	4G09_A.pdb	CHEMBL3219288_b.mol2,CHEMBL3219293_b.mol2,CHEMBL3219297_b.mol2,CHEMBL3219299_b.mol2,CHEMBL476671_b.mol2,CHEMBL477469_b.mol2,CHEMBL477470_b.mol2,CHEMBL477653_b.mol2,CHEMBL477655_b.mol2,CHEMBL477675_b.mol2	8.48	-4.24	5.97	10
Q8IAS0	top	7TBC_A.pdb	CHEMBL5182418_b.mol2,CHEMBL5187792_b.mol2,CHEMBL5190700_b.mol2,CHEMBL5191783_b.mol2,CHEMBL5197877_b.mol2,CHEMBL5204196_b.mol2,CHEMBL5204856_b.mol2	-1.62	-4.85	-0.19	7
Q8NBP7	bottom	6U26_B.pdb	CHEMBL31523_b.mol2,CHEMBL4108338_b.mol2,CHEMBL4109308_b.mol2,CHEMBL4114106_b.mol2,CHEMBL4127458_b.mol2,CHEMBL4130157_b.mol2,CHEMBL4435394_b.mol2,CHEMBL4462933_b.mol2,CHEMBL4549362_b.mol2,CHEMBL4572783_b.mol2	-4.47	6.5	-6.27	10
Q8NG68	bottom	8ASN_I.pdb	CHEMBL483883_b.mol2,CHEMBL496193_b.mol2,CHEMBL497037_b.mol2,CHEMBL497827_b.mol2,CHEMBL525164_b.mol2	-5.6	-2.04	6.98	5
Q8NI60	top	7UDQ_A.pdb	CHEMBL1230122_b.mol2,CHEMBL1241674_b.mol2,CHEMBL1421_b.mol2,CHEMBL24828_b.mol2,CHEMBL31965_b.mol2,CHEMBL4443342_b.mol2,CHEMBL475251_b.mol2,CHEMBL535429_b.mol2,CHEMBL551064_b.mol2,CHEMBL553_b.mol2	3.0	-3.54	-11.56	10
Q8TDX7	top	2WQN_A.pdb	CHEMBL12089_b.mol2,CHEMBL1721885_b.mol2,CHEMBL1789941_b.mol2,CHEMBL1908397_b.mol2,CHEMBL235641_b.mol2,CHEMBL281948_b.mol2,CHEMBL388978_b.mol2,CHEMBL475251_b.mol2,CHEMBL494089_b.mol2,CHEMBL522892_b.mol2	7.01	4.24	-2.44	10
Q923Y8	bottom	8JLJ_R.pdb	CHEMBL1377_b.mol2,CHEMBL3641707_b.mol2,CHEMBL3645428_b.mol2,CHEMBL3656479_b.mol2,CHEMBL3673002_b.mol2,CHEMBL3684763_b.mol2,CHEMBL3684898_b.mol2,CHEMBL3701990_b.mol2,CHEMBL3919815_b.mol2,CHEMBL3979296_b.mol2	8.78	2.43	-2.72	10
Q96KB5	top	5J0A_A.pdb	CHEMBL1190711_b.mol2,CHEMBL1966703_b.mol2,CHEMBL1974935_b.mol2,CHEMBL1986943_b.mol2,CHEMBL1996831_b.mol2,CHEMBL2004365_b.mol2,CHEMBL3672271_b.mol2,CHEMBL3716223_b.mol2,CHEMBL3717200_b.mol2,CHEMBL3719302_b.mol2	5.28	13.76	-13.31	10
Q96LA9	mid	7S8P_R.pdb	CHEMBL1468323_b.mol2,CHEMBL4847901_b.mol2,CHEMBL4851669_b.mol2,CHEMBL4856167_b.mol2,CHEMBL4859833_b.mol2,CHEMBL4863823_b.mol2,CHEMBL4866840_b.mol2,CHEMBL4868865_b.mol2,CHEMBL4871932_b.mol2,CHEMBL4874662_b.mol2	9.95	4.39	-18.15	10
Q96Q83	mid	2IUW_A.pdb	CHEMBL3114990_b.mol2,CHEMBL3145067_b.mol2,CHEMBL3145246_b.mol2,CHEMBL3145411_b.mol2,CHEMBL3145417_b.mol2,CHEMBL3145427_b.mol2,CHEMBL3145429_b.mol2,CHEMBL3145431_b.mol2,CHEMBL3145435_b.mol2,CHEMBL3145451_b.mol2	-5.98	-0.19	-3.7	10
Q96RG2	top	3DLS_F.pdb	CHEMBL1964777_b.mol2,CHEMBL1974310_b.mol2,CHEMBL1979577_b.mol2,CHEMBL1992922_b.mol2,CHEMBL2000354_b.mol2,CHEMBL2005936_b.mol2,CHEMBL225519_b.mol2,CHEMBL388978_b.mol2,CHEMBL4568087_b.mol2,CHEMBL497151_b.mol2	-10.95	-6.14	-8.71	10
Q96RJ0	mid	8W88_R.pdb	CHEMBL100635_b.mol2,CHEMBL1340446_b.mol2,CHEMBL1415470_b.mol2,CHEMBL1487563_b.mol2,CHEMBL1557071_b.mol2,CHEMBL1700180_b.mol2,CHEMBL1899596_b.mol2,CHEMBL2356479_b.mol2,CHEMBL3212402_b.mol2,CHEMBL420095_b.mol2	-3.08	-5.97	8.48	10
Q9BQB6	bottom	6WVH_B.pdb	CHEMBL1464_b.mol2,CHEMBL4463800_b.mol2,CHEMBL4517532_b.mol2,CHEMBL4530669_b.mol2,CHEMBL4594145_b.mol2	-2.2	1.5	-2.51	5
Q9BQF6	mid	7R2E_B.pdb	CHEMBL108660_b.mol2,CHEMBL1342873_b.mol2,CHEMBL1391158_b.mol2,CHEMBL1428684_b.mol2,CHEMBL1477061_b.mol2,CHEMBL1519816_b.mol2,CHEMBL1564777_b.mol2,CHEMBL1605940_b.mol2,CHEMBL1878061_b.mol2,CHEMBL3191218_b.mol2	-11.14	-7.83	-9.89	10
Q9BRS2	top	6ZXG_z.pdb	CHEMBL1289926_b.mol2,CHEMBL1721885_b.mol2,CHEMBL1789941_b.mol2,CHEMBL1908395_b.mol2,CHEMBL1908397_b.mol2,CHEMBL31965_b.mol2,CHEMBL379218_b.mol2,CHEMBL388978_b.mol2,CHEMBL4452939_b.mol2,CHEMBL4564337_b.mol2	5.87	2.95	-5.46	10
Q9C000	mid	7WGE_A.pdb	CHEMBL1312788_b.mol2,CHEMBL1376392_b.mol2,CHEMBL1388040_b.mol2,CHEMBL1405204_b.mol2,CHEMBL1450616_b.mol2	7.93	-8.23	-18.14	5
Q9H2X6	top	6P5S_A.pdb	CHEMBL116070_b.mol2,CHEMBL1964288_b.mol2,CHEMBL1968459_b.mol2,CHEMBL1974803_b.mol2,CHEMBL1982122_b.mol2,CHEMBL1988173_b.mol2,CHEMBL1997129_b.mol2,CHEMBL2003637_b.mol2,CHEMBL371206_b.mol2,CHEMBL4848254_b.mol2	-8.45	3.43	13.04	10
Q9H3N8	mid	7YFC_R.pdb	CHEMBL106612_b.mol2,CHEMBL129026_b.mol2,CHEMBL17740_b.mol2,CHEMBL1916493_b.mol2,CHEMBL2047453_b.mol2,CHEMBL259839_b.mol2,CHEMBL3290572_b.mol2,CHEMBL3752225_b.mol2,CHEMBL452847_b.mol2,CHEMBL489061_b.mol2	-6.34	-6.75	6.99	10
Q9H422	top	7O7J_A.pdb	CHEMBL1230020_b.mol2,CHEMBL1241674_b.mol2,CHEMBL1721885_b.mol2,CHEMBL1802358_b.mol2,CHEMBL1908397_b.mol2,CHEMBL296468_b.mol2,CHEMBL379218_b.mol2,CHEMBL428690_b.mol2,CHEMBL4743730_b.mol2,CHEMBL475251_b.mol2	-7.76	3.6	13.52	10
Q9HC97	mid	8H8J_C.pdb	CHEMBL1096_b.mol2,CHEMBL1388639_b.mol2,CHEMBL1490312_b.mol2,CHEMBL1570760_b.mol2,CHEMBL1914578_b.mol2,CHEMBL2037461_b.mol2,CHEMBL2392159_b.mol2,CHEMBL3198952_b.mol2,CHEMBL4159575_b.mol2,CHEMBL4852667_b.mol2	11.84	3.09	-11.99	10
Q9HCN6	top	5OU7_A.pdb	CHEMBL1235110_b.mol2,CHEMBL1873475_b.mol2,CHEMBL191_b.mol2,CHEMBL308493_b.mol2,CHEMBL3707348_b.mol2,CHEMBL3936761_b.mol2,CHEMBL3959435_b.mol2,CHEMBL4071161_b.mol2,CHEMBL4072833_b.mol2,CHEMBL549359_b.mol2	-2.42	6.84	-1.99	10
Q9NQS5	mid	8J18_R.pdb	CHEMBL108030_b.mol2,CHEMBL3715069_b.mol2,CHEMBL3717905_b.mol2,CHEMBL3827038_b.mol2,CHEMBL3828230_b.mol2,CHEMBL4090321_b.mol2,CHEMBL4456565_b.mol2,CHEMBL4571353_b.mol2,CHEMBL5170482_b.mol2,CHEMBL5184294_b.mol2	5.72	-0.68	-7.95	10
Q9NXG6	bottom	6TP5_A.pdb	CHEMBL1203805_b.mol2,CHEMBL166568_b.mol2,CHEMBL3115317_b.mol2,CHEMBL355500_b.mol2,CHEMBL3640752_b.mol2,CHEMBL3640755_b.mol2,CHEMBL3640758_b.mol2,CHEMBL3651449_b.mol2,CHEMBL3651453_b.mol2,CHEMBL3651456_b.mol2	-1.95	3.43	1.47	10
Q9UKK3	top	8SWY_A.pdb	CHEMBL1086580_b.mol2,CHEMBL1094636_b.mol2,CHEMBL1173055_b.mol2,CHEMBL3137320_b.mol2,CHEMBL372303_b.mol2,CHEMBL506871_b.mol2,CHEMBL5198711_b.mol2,CHEMBL5200299_b.mol2,CHEMBL521686_b.mol2,CHEMBL595018_b.mol2	6.45	13.8	-34.38	10
Q9Y251	bottom	5L9Z_A.pdb	CHEMBL109719_b.mol2,CHEMBL197295_b.mol2,CHEMBL200333_b.mol2,CHEMBL200807_b.mol2,CHEMBL324193_b.mol2,CHEMBL364476_b.mol2,CHEMBL372157_b.mol2,CHEMBL383774_b.mol2,CHEMBL424835_b.mol2,CHEMBL479013_b.mol2	-18.88	-2.27	-6.26	10
Q9Y271	mid	6RZ5_A.pdb	CHEMBL11509_b.mol2,CHEMBL11899_b.mol2,CHEMBL1214415_b.mol2,CHEMBL131582_b.mol2,CHEMBL22016_b.mol2,CHEMBL3342947_b.mol2,CHEMBL33871_b.mol2,CHEMBL3892611_b.mol2,CHEMBL3935529_b.mol2,CHEMBL411_b.mol2	7.03	2.28	-2.8	10
Q9Y5N1	mid	7F61_A.pdb	CHEMBL101692_b.mol2,CHEMBL1257486_b.mol2,CHEMBL179578_b.mol2,CHEMBL1958144_b.mol2,CHEMBL216669_b.mol2,CHEMBL257235_b.mol2,CHEMBL3417507_b.mol2,CHEMBL409877_b.mol2,CHEMBL4574463_b.mol2,CHEMBL5090291_b.mol2	5.74	1.42	-15.41	10
Q9Y616	top	6ZIW_I.pdb	CHEMBL1241674_b.mol2,CHEMBL1908396_b.mol2,CHEMBL1952329_b.mol2,CHEMBL2153266_b.mol2,CHEMBL3544966_b.mol2,CHEMBL4094760_b.mol2,CHEMBL4634922_b.mol2,CHEMBL477772_b.mol2,CHEMBL488436_b.mol2,CHEMBL572878_b.mol2	-14.11	-4.81	-2.96	10
Q9Y6K0	bottom	8GYW_A.pdb	CHEMBL258586_b.mol2,CHEMBL407147_b.mol2,CHEMBL593709_b.mol2,CHEMBL593966_b.mol2,CHEMBL596491_b.mol2	9.5	0.2	-7.25	5
Q9Y6L6	mid	8K6L_A.pdb	CHEMBL1064_b.mol2,CHEMBL1255589_b.mol2,CHEMBL1603825_b.mol2,CHEMBL191_b.mol2,CHEMBL3039417_b.mol2,CHEMBL3138694_b.mol2,CHEMBL3775889_b.mol2,CHEMBL457_b.mol2,CHEMBL4794465_b.mol2,CHEMBL5072201_b.mol2	-4.37	5.11	7.87	10
